(Anonymous) Stat Unit ID,Hard Worker (0-5),Ambitious (0-5),Age,weight,height
1933541,5,4,22,80,1.76
1933529,5,5,22,78,1.69
31337,5,5,22,66,1.73
2111409,5,5,23,89,1.93
309200,5,5,23,96,1.76
1234567,5,5,21,84,1.76
2150048,5,5,23,81,1.8
1600,5,5,23,45,1.73
1843916,5,4,24,100,1.8
1811290,5,4,24,95,1.78
1888414,5,5,23,63,1.72
2139837,5,5,21,82,1.89
ZioSaba,4,4,25,63,1.68
coder,5,4,22,72,1.81
2132174,5,6,22,60,1.6
1882582,5,5,22,67,1.58
a contributor,4,5,25,72,1.86
1813358,5,4,21,70,1.58
anonymous,5,5,21,80,1.76
1941541,5,5,21,65,1.8
2468100,5,5,23,54,1.65
1933472,5,4,22,54,1.65
X Æ A-XII,4,4,21,72,1.86
3366,4,5,23,80,1.91
24_10,4,3,24,70,1.95
Jueia,5,4,25,77,1.9
1968050,4,5,23,70,1.58
2137544,4,4,22,65,1.8
1945109,2,3,22,54,1.65
AnonymousBlades,4,4,27,72,1.86
70704040,4,4,23,73,1.71
1842804,5,5,24,80,1.76
1947898,4,5,22,79,1.8
2094810,4,4,25,90,1.9
2133183,4,5,39,76,1.68
Utente2807,4,5,26,85,1.82
2107930,3,5,23,70,1.95
2155672,4,5,22,77,1.9
1933420,4,4,22,72,1.94
2141268,5,5,22,90,1.98
Cheza,4,3,23,83,1.87
NisiOsiN,5,4,27,65,1.55
1883018,4,5,23,70,1.58
1946175,5,3,25,70,1.95
101023,4,4,22,77,1.9
anonymousA,4,4,22,70,1.78
novaavon,4,5,22,88,1.91
2117333,4,5,22,78,1.82
1957045,4,4,21,79,1.8
Francesco Totti,5,5,23,76,1.72
anon,4,4,23,85,1.82
Alessandro del Piero ,3,3,26,70,1.95
Lord Barty,4,5,27,77,1.9
Q,4,5,23,75,1.7
1245,4,3,23,70,1.78
The Duck,5,5,23,88,1.91
2126556,3,5,27,78,1.82
4242564,4,5,24,79,1.8
21124334,4,4,22,90,1.9
